PLAYERID,NAME,CLUB,GRADE,POS,G,IP,E,FPCT,CS
1,강경학,한화,C,4,5,14,0,1,0
1,강경학,한화,C,6,38,252.333,7,0.944,0
1,강경학,한화,C,D,0,0,0,0,0
2,강구성,NC,C,7,1,1,0,1,0
2,강구성,NC,C,D,0,0,0,0,0
3,강동관,롯데,C,2,2,3.667,0,1,0
3,강동관,롯데,C,D,0,0,0,0,0
4,강동연,두산,C,1,11,7.667,0,1,0
4,강동연,두산,C,D,0,0,0,0,0
5,강민국,NC,C,4,1,1,0,0,0
5,강민국,NC,C,5,4,8,0,1,0
5,강민국,NC,C,6,19,58.333,4,0.875,0
5,강민국,NC,C,D,0,0,0,0,0
6,강민호,롯데,A,2,95,763.333,4,0.994,34.4
6,강민호,롯데,A,D,0,0,0,0,0
7,강승현,롯데,C,1,6,8.333,0,1,0
7,강승현,롯데,C,D,0,0,0,0,0
8,강승호,LG,C,6,17,94,5,0.915,0
8,강승호,LG,C,D,0,0,0,0,0
9,강영식,롯데,C,1,24,11.667,1,0,0
9,강영식,롯데,C,D,0,0,0,0,0
10,강윤구,넥센,C,1,1,1,0,0,0
10,강윤구,넥센,C,D,0,0,0,0,0
11,강장산,NC,C,1,3,2.333,0,1,0
11,강장산,NC,C,D,0,0,0,0,0
12,강지광,넥센,C,9,18,45,0,1,0
12,강지광,넥센,C,7,16,70,0,1,0
12,강지광,넥센,B,8,11,56.333,1,0.958,0
12,강지광,넥센,C,D,0,0,0,0,0
13,강한울,KIA,C,4,24,46.667,0,1,0
13,강한울,KIA,C,5,2,4,0,0,0
13,강한울,KIA,B,6,97,688.667,11,0.972,0
13,강한울,KIA,C,D,0,0,0,0,0
14,고메즈,SK,C,6,112,933,25,0.955,0
14,고메즈,SK,C,D,0,0,0,0,0
15,고봉재,두산,C,1,25,23.333,0,1,0
15,고봉재,두산,C,D,0,0,0,0,0
16,고영민,두산,C,3,2,2,0,1,0
16,고영민,두산,C,4,2,5,0,1,0
16,고영민,두산,C,D,0,0,0,0,0
17,고영우,KIA,C,3,8,11,0,1,0
17,고영우,KIA,C,4,14,20.333,0,1,0
17,고영우,KIA,C,5,10,14,0,1,0
17,고영우,KIA,C,9,8,17,0,1,0
17,고영우,KIA,C,6,27,149.667,4,0.947,0
17,고영우,KIA,C,7,9,14.667,0,1,0
17,고영우,KIA,C,8,1,1,0,0,0
17,고영우,KIA,C,D,0,0,0,0,0
18,고영표,kt,C,1,53,56.333,0,1,0
18,고영표,kt,C,D,0,0,0,0,0
19,고원준,두산,C,1,14,24.667,0,1,0
19,고원준,두산,C,D,0,0,0,0,0
20,고종욱,넥센,A,7,107,804,1,0.994,0
20,고종욱,넥센,B,8,19,101,0,1,0
20,고종욱,넥센,A,D,0,0,0,0,0
21,고효준,KIA,C,1,24,46,3,0.7,0
21,고효준,KIA,C,D,0,0,0,0,0
22,곽정철,KIA,C,1,27,27.333,0,1,0
22,곽정철,KIA,C,D,0,0,0,0,0
23,구자욱,삼성,A,3,105,904,7,0.992,0
23,구자욱,삼성,C,5,6,9.333,0,0,0
23,구자욱,삼성,A,D,0,0,0,0,0
24,구창모,NC,B,1,39,68.667,1,0.9,0
24,구창모,NC,B,D,0,0,0,0,0
25,국해성,두산,C,3,2,4,0,1,0
25,국해성,두산,A,9,29,174,1,0.98,0
25,국해성,두산,C,7,2,6,0,1,0
25,국해성,두산,C,D,0,0,0,0,0
26,권오준,삼성,C,1,41,46.333,1,0.889,0
26,권오준,삼성,C,D,0,0,0,0,0
27,권용관,한화,C,3,6,6,0,1,0
27,권용관,한화,C,4,8,21.667,0,1,0
27,권용관,한화,A,6,18,83.333,1,0.973,0
27,권용관,한화,C,D,0,0,0,0,0
28,권정웅,삼성,C,2,3,4,0,1,0
28,권정웅,삼성,C,D,0,0,0,0,0
29,권혁,한화,C,1,66,95.333,3,0.864,0
29,권혁,한화,C,D,0,0,0,0,0
30,권희동,NC,C,9,5,28,0,1,0
30,권희동,NC,C,7,9,43,0,1,0
30,권희동,NC,C,8,6,25,0,1,0
30,권희동,NC,C,D,0,0,0,0,0
31,금민철,넥센,C,1,14,26.333,0,1,0
31,금민철,넥센,C,D,0,0,0,0,0
32,김강률,두산,C,1,25,28,0,1,0
32,김강률,두산,C,D,0,0,0,0,0
33,김강민,SK,A,8,114,875.667,2,0.99,0
33,김강민,SK,A,D,0,0,0,0,0
34,김건한,삼성,C,1,3,9.667,1,0,0
34,김건한,삼성,C,D,0,0,0,0,0
35,김경언,한화,C,3,2,3.667,0,1,0
35,김경언,한화,A,9,58,384,1,0.988,0
35,김경언,한화,C,8,1,1,0,0,0
35,김경언,한화,C,D,0,0,0,0,0
36,김경태,한화,C,1,10,11.667,0,1,0
36,김경태,한화,C,D,0,0,0,0,0
37,김광수,KIA,C,1,54,52.333,0,1,0
37,김광수,KIA,C,D,0,0,0,0,0
38,김광현,SK,B,1,27,137,2,0.951,0
38,김광현,SK,B,D,0,0,0,0,0
39,김기태,삼성,C,1,17,75,0,1,0
39,김기태,삼성,C,D,0,0,0,0,0
40,김기현,SK,C,3,5,14,0,1,0
40,김기현,SK,C,9,2,4,0,0,0
40,김기현,SK,C,7,1,3,0,0,0
40,김기현,SK,C,D,0,0,0,0,0
41,김다원,KIA,C,9,12,55,0,1,0
41,김다원,KIA,C,7,6,16.667,0,1,0
41,김다원,KIA,C,8,1,1,0,0,0
41,김다원,KIA,C,D,0,0,0,0,0
42,김대륙,롯데,C,3,2,2,1,0.75,0
42,김대륙,롯데,C,4,20,36.667,3,0.906,0
42,김대륙,롯데,C,5,6,9,0,1,0
42,김대륙,롯데,A,6,32,132.333,1,0.987,0
42,김대륙,롯데,C,D,0,0,0,0,0
43,김대우,롯데,C,3,1,3,0,1,0
43,김대우,롯데,C,D,0,0,0,0,0
44,김대우,삼성,C,1,67,66,0,1,0
44,김대우,삼성,C,D,0,0,0,0,0
45,김대현,LG,C,1,1,1.667,0,0,0
45,김대현,LG,C,D,0,0,0,0,0
46,김동명,kt,C,3,3,17,1,0.938,0
46,김동명,kt,C,7,1,2,0,0,0
46,김동명,kt,C,D,0,0,0,0,0
47,김동엽,SK,C,3,3,4,0,1,0
47,김동엽,SK,C,9,4,10.667,0,1,0
47,김동엽,SK,C,7,11,41,0,1,0
47,김동엽,SK,C,D,0,0,0,0,0
48,김동한,롯데,A,4,58,261,2,0.987,0
48,김동한,롯데,C,5,5,13,0,1,0
48,김동한,롯데,C,9,2,2.667,0,0,0
48,김동한,롯데,C,7,1,0.333,0,0,0
48,김동한,롯데,C,8,1,1,0,0,0
48,김동한,롯데,A,D,0,0,0,0,0
49,김동호,삼성,C,1,33,33,0,1,0
49,김동호,삼성,C,D,0,0,0,0,0
50,김명찬,KIA,C,1,11,13,0,1,0
50,김명찬,KIA,C,D,0,0,0,0,0
51,김문호,롯데,C,9,2,2.333,0,0,0
51,김문호,롯데,A,7,125,1005,5,0.976,0
51,김문호,롯데,C,8,10,32.667,0,1,0
51,김문호,롯데,C,D,0,0,0,0,0
52,김민성,넥센,C,4,2,9,0,1,0
52,김민성,넥센,A,5,128,1060,7,0.981,0
52,김민성,넥센,C,D,0,0,0,0,0
53,김민수,kt,C,1,7,8,0,1,0
53,김민수,kt,C,D,0,0,0,0,0
54,김민식,SK,C,3,1,3,0,1,0
54,김민식,SK,B,2,75,359,7,0.976,36.6
54,김민식,SK,C,D,0,0,0,0,0
55,김민우,KIA,C,3,1,5,0,1,0
55,김민우,KIA,B,4,18,108,0,1,0
55,김민우,KIA,C,6,1,1,0,0,0
55,김민우,KIA,C,D,0,0,0,0,0
56,김민우,한화,C,1,5,9.667,1,0.5,0
56,김민우,한화,C,D,0,0,0,0,0
57,김민준,넥센,C,9,11,39,0,1,0
57,김민준,넥센,C,7,1,2,0,0,0
57,김민준,넥센,C,8,4,9,0,1,0
57,김민준,넥센,C,D,0,0,0,0,0
58,김민하,롯데,C,3,1,1,0,1,0
58,김민하,롯데,C,4,1,1,0,0,0
58,김민하,롯데,C,9,12,26,0,1,0
58,김민하,롯데,C,7,4,5,0,1,0
58,김민하,롯데,A,8,23,91,1,0.957,0
58,김민하,롯데,C,D,0,0,0,0,0
59,김민혁,kt,C,7,9,20.333,0,1,0
59,김민혁,kt,C,D,0,0,0,0,0
60,김범수,한화,C,1,5,5.667,0,0,0
60,김범수,한화,C,D,0,0,0,0,0
61,김사연,kt,C,3,3,14,0,1,0
61,김사연,kt,B,9,14,89,0,1,0
61,김사연,kt,C,8,3,26,0,1,0
61,김사연,kt,C,D,0,0,0,0,0
62,김사율,kt,C,1,25,30.333,0,1,0
62,김사율,kt,C,D,0,0,0,0,0
63,김사훈,롯데,B,2,19,100,0,1,33.3
63,김사훈,롯데,B,D,0,0,0,0,0
65,김상수,삼성,B,6,105,867.333,15,0.967,0
65,김상수,넥센,C,1,67,74,0,1,0
65,김상수,삼성,B,D,0,0,0,0,0
66,김상현,kt,C,3,56,435.667,9,0.981,0
66,김상현,kt,C,D,0,0,0,0,0
67,김상호,롯데,A,3,93,738,5,0.993,0
67,김상호,롯데,C,4,1,0.333,0,0,0
67,김상호,롯데,C,5,5,7.667,1,0.75,0
67,김상호,롯데,A,D,0,0,0,0,0
68,김선규,NC,C,1,17,15.333,0,1,0
68,김선규,NC,C,D,0,0,0,0,0
69,김선민,kt,B,4,14,66.667,1,0.975,0
69,김선민,kt,C,5,12,37.667,0,1,0
69,김선민,kt,B,D,0,0,0,0,0
70,김선빈,KIA,B,6,6,50,1,0.96,0
70,김선빈,KIA,B,D,0,0,0,0,0
71,김성배,두산,C,1,39,37.333,0,1,0
71,김성배,두산,C,D,0,0,0,0,0
72,김성욱,NC,C,9,14,25,0,1,0
72,김성욱,NC,A,7,80,357.333,0,1,0
72,김성욱,NC,A,8,53,332.667,1,0.989,0
72,김성욱,NC,C,D,0,0,0,0,0
73,김성재,롯데,C,1,6,3.667,0,0,0
73,김성재,롯데,C,D,0,0,0,0,0
74,김성현,SK,A,4,111,886,9,0.984,0
74,김성현,SK,C,6,27,199.667,7,0.934,0
74,김성현,SK,A,D,0,0,0,0,0
75,김세현,넥센,C,1,62,62.333,0,1,0
75,김세현,넥센,C,D,0,0,0,0,0
76,김승현,삼성,C,1,2,2,0,1,0
76,김승현,삼성,C,D,0,0,0,0,0
77,김승회,SK,C,1,23,24.333,0,1,0
77,김승회,SK,C,D,0,0,0,0,0
78,김연훈,kt,A,3,43,174,2,0.989,0
78,김연훈,kt,C,4,31,120.333,3,0.955,0
78,김연훈,kt,C,5,36,143.333,3,0.936,0
78,김연훈,kt,C,6,8,33.667,0,1,0
78,김연훈,kt,A,D,0,0,0,0,0
79,김영환,kt,C,4,4,15,0,1,0
79,김영환,kt,C,D,0,0,0,0,0
80,김용의,LG,A,3,39,188.667,0,1,0
80,김용의,LG,C,9,14,74,0,1,0
80,김용의,LG,C,7,2,2,0,0,0
80,김용의,LG,A,8,59,364.667,0,1,0
80,김용의,LG,A,D,0,0,0,0,0
81,김용주,한화,C,1,17,15.667,0,1,0
81,김용주,한화,C,D,0,0,0,0,0
82,김웅빈,넥센,C,4,7,27,0,1,0
82,김웅빈,넥센,C,5,1,4,2,0.6,0
82,김웅빈,넥센,C,D,0,0,0,0,0
83,김원석,한화,C,9,7,16.667,0,1,0
83,김원석,한화,C,7,3,6.667,0,1,0
83,김원석,한화,C,D,0,0,0,0,0
84,김원섭,KIA,C,3,1,1,0,1,0
84,김원섭,KIA,C,9,13,66.667,0,1,0
84,김원섭,KIA,B,7,14,59,1,0.933,0
84,김원섭,KIA,C,8,5,33.333,0,1,0
84,김원섭,KIA,C,D,0,0,0,0,0
85,김원중,롯데,C,1,3,7.667,0,1,0
85,김원중,롯데,C,D,0,0,0,0,0
86,김유영,롯데,C,1,46,34.333,0,1,0
86,김유영,롯데,C,D,0,0,0,0,0
87,김윤동,KIA,C,1,31,53,0,1,0
87,김윤동,KIA,C,D,0,0,0,0,0
88,김윤환,넥센,C,1,1,1,0,0,0
88,김윤환,넥센,C,D,0,0,0,0,0
89,김인태,두산,C,9,4,9,0,1,0
89,김인태,두산,C,7,6,19,0,1,0
89,김인태,두산,C,D,0,0,0,0,0
90,김재영,한화,C,1,11,11.333,1,0.667,0
90,김재영,한화,C,D,0,0,0,0,0
91,김재유,롯데,C,9,3,12,0,1,0
91,김재유,롯데,C,7,2,5,0,1,0
91,김재유,롯데,C,8,7,37,0,1,0
91,김재유,롯데,C,D,0,0,0,0,0
92,김재윤,kt,C,1,52,54.333,2,0.5,0
92,김재현,SK,C,9,22,69,0,1,0
92,김재현,SK,A,7,44,179,0,1,0
92,김재현,SK,A,8,38,182,1,0.984,0
92,김재현,넥센,A,2,55,224.667,1,0.994,22.2
92,김재윤,kt,C,D,0,0,0,0,0
93,김재현,삼성,C,4,21,69,0,1,0
93,김재현,삼성,C,5,36,123.667,5,0.865,0
93,김재현,삼성,A,6,67,379.667,4,0.98,0
93,김재현,삼성,C,D,0,0,0,0,0
96,김재호,두산,A,6,137,1065,10,0.984,0
96,김재호,두산,A,D,0,0,0,0,0
97,김재환,두산,C,3,3,20.333,0,1,0
97,김재환,두산,A,7,110,865.333,5,0.975,0
97,김재환,두산,C,D,0,0,0,0,0
98,김정인,넥센,C,1,2,2,0,0,0
98,김정인,넥센,C,D,0,0,0,0,0
99,김정혁,삼성,C,3,15,48,2,0.952,0
99,김정혁,삼성,A,5,35,212,0,1,0
99,김정혁,삼성,C,D,0,0,0,0,0
100,김정훈,넥센,C,1,34,63.333,0,1,0
100,김정훈,넥센,C,D,0,0,0,0,0
101,김종민,kt,A,2,77,523.333,6,0.986,20.3
101,김종민,kt,A,D,0,0,0,0,0
102,김종호,NC,C,9,1,1,0,0,0
102,김종호,NC,A,7,40,205,1,0.974,0
102,김종호,NC,C,D,0,0,0,0,0
103,김주찬,KIA,C,3,3,19.333,0,1,0
103,김주찬,KIA,A,7,112,879.667,3,0.986,0
103,김주찬,KIA,C,D,0,0,0,0,0
104,김주한,SK,C,1,39,59.333,0,1,0
104,김주한,SK,C,D,0,0,0,0,0
106,김주현,한화,C,3,2,2,0,1,0
106,김주현,롯데,C,5,1,1,0,0,0
106,김주현,롯데,C,9,2,8,0,1,0
106,김주현,롯데,C,7,9,37.667,0,1,0
106,김주현,한화,C,D,0,0,0,0,0
107,김주형,KIA,A,3,39,178,0,1,0
107,김주형,KIA,C,4,18,93.333,2,0.958,0
107,김주형,KIA,A,5,51,194.667,2,0.96,0
107,김주형,KIA,C,9,15,39.667,0,1,0
107,김주형,KIA,C,6,29,197,7,0.938,0
107,김주형,KIA,C,7,2,3.667,0,0,0
107,김주형,KIA,A,D,0,0,0,0,0
108,김준완,NC,C,9,6,25,0,1,0
108,김준완,NC,A,7,39,235.667,1,0.977,0
108,김준완,NC,A,8,88,399,0,1,0
108,김준완,NC,C,D,0,0,0,0,0
109,김준태,롯데,A,2,58,316.667,0,1,45.5
109,김준태,롯데,A,D,0,0,0,0,0
110,김지성,LG,C,4,1,1,0,0,0
110,김지성,LG,C,5,1,2,0,0,0
110,김지성,LG,C,6,1,6,0,1,0
110,김지성,LG,C,D,0,0,0,0,0
111,김지수,넥센,C,3,3,10,0,1,0
111,김지수,넥센,B,4,31,92,0,1,0
111,김지수,넥센,C,5,30,73.333,0,1,0
111,김지수,넥센,C,6,20,77.333,0,1,0
111,김지수,넥센,C,D,0,0,0,0,0
112,김지수,롯데,C,9,1,1,0,1,0
112,김지수,롯데,C,7,1,1,0,0,0
112,김지수,롯데,C,8,3,18,0,1,0
112,김지수,롯데,C,D,0,0,0,0,0
113,김지용,LG,C,1,51,63,0,1,0
113,김지용,LG,C,D,0,0,0,0,0
114,김진곤,kt,C,9,2,2,0,0,0
114,김진곤,kt,C,8,8,12,1,0.667,0
114,김진곤,kt,C,D,0,0,0,0,0
115,김진성,NC,C,1,69,84.333,2,0.875,0
115,김진성,NC,C,D,0,0,0,0,0
116,김진우,KIA,C,1,11,15,0,1,0
116,김진우,KIA,C,D,0,0,0,0,0
117,김태군,NC,A,2,134,935.667,0,1,35.2
117,김태군,NC,A,D,0,0,0,0,0
118,김태균,한화,A,3,56,471.667,4,0.991,0
118,김태완,삼성,C,4,10,28.333,0,1,0
118,김태완,삼성,C,5,11,22.333,0,1,0
118,김태균,한화,A,D,0,0,0,0,0
119,김태완,한화,C,3,7,12,0,1,0
119,김태완,한화,C,D,0,0,0,0,0
121,김태진,NC,C,5,1,3,0,0,0
121,김태진,NC,C,D,0,0,0,0,0
122,김태훈,SK,C,1,15,14.667,0,1,0
122,김태훈,SK,C,D,0,0,0,0,0
123,김택형,넥센,C,1,32,28.333,2,0.75,0
123,김택형,넥센,C,D,0,0,0,0,0
124,김하성,넥센,B,6,143,1203,21,0.964,0
124,김하성,넥센,B,D,0,0,0,0,0
125,김학성,NC,C,1,4,4.333,0,0,0
125,김학성,NC,C,D,0,0,0,0,0
126,김현우,삼성,C,1,17,20.667,0,1,0
126,김현우,삼성,C,D,0,0,0,0,0
127,김호령,KIA,A,8,122,1009.667,3,0.991,0
127,김호령,KIA,A,D,0,0,0,0,0
128,김회성,한화,C,3,10,56,0,1,0
128,김회성,한화,C,5,8,46.333,1,0.955,0
128,김회성,한화,C,D,0,0,0,0,0
129,나경민,롯데,C,9,2,3,0,1,0
129,나경민,롯데,A,7,12,89,1,0.962,0
129,나경민,롯데,C,8,8,24.667,0,1,0
129,나경민,롯데,C,D,0,0,0,0,0
130,나성범,NC,A,9,142,1206.333,8,0.969,0
130,나성범,NC,A,D,0,0,0,0,0
131,나성용,삼성,C,3,2,6,0,1,0
131,나성용,삼성,C,D,0,0,0,0,0
132,나주환,SK,C,3,8,58,0,1,0
132,나주환,SK,C,4,9,46,1,0.944,0
132,나주환,SK,C,5,1,2.333,0,0,0
132,나주환,SK,C,6,3,10,1,0.8,0
132,나주환,SK,C,D,0,0,0,0,0
133,나지완,KIA,C,9,1,7,0,1,0
133,나지완,KIA,B,7,14,61,1,0.929,0
133,나지완,KIA,C,D,0,0,0,0,0
134,남태혁,kt,C,3,14,100.333,4,0.962,0
134,남태혁,kt,C,D,0,0,0,0,0
135,노경은,롯데,A,1,22,94.667,1,0.962,0
135,노경은,롯데,A,D,0,0,0,0,0
136,노수광,KIA,A,9,46,244,1,0.985,0
136,노수광,KIA,C,7,20,69,0,1,0
136,노수광,KIA,A,8,28,166,0,1,0
136,노수광,KIA,A,D,0,0,0,0,0
137,니퍼트,두산,A,1,28,167.667,0,1,0
137,니퍼트,두산,A,D,0,0,0,0,0
138,대니돈,넥센,A,3,51,356.667,2,0.994,0
138,대니돈,넥센,A,9,50,389,1,0.99,0
138,대니돈,넥센,A,7,16,131,1,0.971,0
138,대니돈,넥센,A,D,0,0,0,0,0
139,도태훈,NC,C,4,1,1,0,1,0
139,도태훈,NC,C,5,5,6.667,0,1,0
139,도태훈,NC,C,6,3,7.667,1,0.875,0
139,도태훈,NC,C,D,0,0,0,0,0
140,라라,SK,C,1,17,48.333,3,0.769,0
140,라라,SK,C,D,0,0,0,0,0
141,레온,삼성,C,1,2,8,0,1,0
141,레온,삼성,C,D,0,0,0,0,0
142,레일리,롯데,B,1,31,184.667,3,0.935,0
142,레일리,롯데,B,D,0,0,0,0,0
143,로사리오,한화,A,3,72,580,6,0.989,0
143,로사리오,한화,C,4,1,1,0,1,0
143,로사리오,한화,C,7,1,0.333,0,0,0
143,로사리오,한화,C,2,2,10,0,1,0
143,로사리오,한화,A,D,0,0,0,0,0
144,로위,kt,C,1,14,60,0,1,0
144,로위,kt,C,D,0,0,0,0,0
145,로저스,한화,C,1,6,37.667,1,0.857,0
145,로저스,한화,C,D,0,0,0,0,0
146,류제국,LG,A,1,29,161.333,1,0.964,0
146,류제국,LG,A,D,0,0,0,0,0
147,류지혁,두산,C,3,20,29.333,1,0.968,0
147,류지혁,두산,B,4,32,131,0,1,0
147,류지혁,두산,C,5,12,29,0,1,0
147,류지혁,두산,A,6,36,155,1,0.989,0
147,류지혁,두산,C,D,0,0,0,0,0
148,류희운,kt,C,1,5,8.333,0,1,0
148,류희운,kt,C,D,0,0,0,0,0
149,린드블럼,롯데,A,1,30,177.333,1,0.971,0
149,린드블럼,롯데,A,D,0,0,0,0,0
150,마르테,kt,A,5,89,718.667,7,0.969,0
150,마르테,kt,A,D,0,0,0,0,0
151,마리몬,kt,C,1,12,62,2,0.882,0
151,마리몬,kt,C,D,0,0,0,0,0
152,마에스트리,한화,C,1,9,28.667,2,0.667,0
152,마에스트리,한화,C,D,0,0,0,0,0
153,마정길,넥센,C,1,61,63.667,0,1,0
153,마정길,넥센,C,D,0,0,0,0,0
154,맥그레거,넥센,B,1,14,90,0,1,0
154,맥그레거,넥센,B,D,0,0,0,0,0
155,맥스웰,롯데,A,8,23,186,1,0.976,0
155,맥스웰,롯데,A,D,0,0,0,0,0
156,모창민,NC,C,3,3,17,0,1,0
156,모창민,NC,C,4,2,3,0,1,0
156,모창민,NC,B,5,37,201.667,3,0.949,0
156,모창민,NC,C,D,0,0,0,0,0
157,문광은,SK,C,1,17,17,0,1,0
157,문광은,SK,C,D,0,0,0,0,0
158,문규현,롯데,C,4,13,54.667,0,1,0
158,문규현,롯데,A,6,109,781.667,7,0.984,0
158,문규현,롯데,C,D,0,0,0,0,0
159,문상철,kt,C,3,22,82,4,0.956,0
159,문상철,kt,C,4,3,16.667,1,0.917,0
159,문상철,kt,A,5,23,115,1,0.971,0
159,문상철,kt,C,D,0,0,0,0,0
160,문선재,LG,C,4,1,1,0,1,0
160,문선재,LG,B,7,26,98.667,0,1,0
160,문선재,LG,A,8,26,149.333,0,1,0
160,문선재,LG,C,D,0,0,0,0,0
161,문승원,SK,B,1,20,63.667,1,0.941,0
161,문승원,SK,B,D,0,0,0,0,0
162,민병헌,두산,A,9,90,549.667,0,1,0
162,민병헌,두산,A,8,69,476.667,0,1,0
162,민병헌,두산,A,D,0,0,0,0,0
163,민성기,NC,C,1,25,28.333,0,1,0
163,민성기,NC,C,D,0,0,0,0,0
164,박건우,두산,A,9,75,514.667,1,0.991,0
164,박건우,두산,A,7,55,291.667,2,0.97,0
164,박건우,두산,A,8,24,157.333,0,1,0
164,박건우,두산,A,D,0,0,0,0,0
165,박경수,kt,B,4,109,888,13,0.977,0
165,박경수,kt,B,D,0,0,0,0,0
166,박계범,삼성,C,4,1,1.667,0,1,0
166,박계범,삼성,C,5,3,3.333,0,1,0
166,박계범,삼성,C,6,2,4,0,0,0
166,박계범,삼성,C,D,0,0,0,0,0
167,박광열,NC,C,2,12,37,2,0.935,100
167,박광열,NC,C,D,0,0,0,0,0
168,박근홍,삼성,C,1,60,41,0,1,0
168,박근홍,삼성,C,D,0,0,0,0,0
169,박기혁,kt,C,4,18,59.667,2,0.956,0
169,박기혁,kt,B,6,105,726,11,0.973,0
169,박기혁,kt,C,D,0,0,0,0,0
170,박노민,한화,C,9,1,1,0,0,0
170,박노민,한화,C,2,1,0.667,0,0,0
170,박노민,한화,C,D,0,0,0,0,0
171,박동원,넥센,A,2,126,991.333,7,0.992,40.6
