PLAYERID,NAME,CLUB,GRADE,POS,G,IP,E,FPCT,CS
347,이원석,두산,C,6,3,20,2,0.857,0
347,이원석,두산,C,D,0,0,0,0,0
348,이재우,한화,C,1,15,25.333,0,1,0
348,이재우,한화,C,D,0,0,0,0,0
349,이재원,SK,A,2,116,896.333,8,0.99,34.5
349,이재원,SK,A,D,0,0,0,0,0
350,이재율,NC,C,7,1,2,0,0,0
350,이재율,NC,C,8,11,33,1,0.909,0
350,이재율,NC,C,D,0,0,0,0,0
351,이재학,NC,B,1,26,127.667,2,0.909,0
351,이재학,NC,B,D,0,0,0,0,0
352,이정담,SK,C,1,6,5.333,0,1,0
352,이정담,SK,C,D,0,0,0,0,0
353,이정민,롯데,C,1,66,77,0,1,0
353,이정민,롯데,C,D,0,0,0,0,0
354,이정식,삼성,C,2,7,30,1,0.941,40
354,이정식,삼성,C,D,0,0,0,0,0
355,이정훈,넥센,C,1,15,18,0,1,0
355,이정훈,넥센,C,D,0,0,0,0,0
356,이종욱,NC,A,7,66,434.333,1,0.99,0
356,이종욱,NC,A,8,65,496.667,1,0.991,0
356,이종욱,NC,A,D,0,0,0,0,0
357,이종환,한화,C,9,5,10,0,1,0
357,이종환,한화,C,7,1,1,0,0,0
357,이종환,한화,C,D,0,0,0,0,0
358,이준영,KIA,C,1,13,17.667,1,0.667,0
358,이준영,KIA,C,D,0,0,0,0,0
359,이준형,LG,C,1,25,71.333,3,0.85,0
359,이준형,LG,C,D,0,0,0,0,0
360,이지영,삼성,A,2,124,867,10,0.987,31.3
360,이지영,삼성,A,D,0,0,0,0,0
361,이진석,SK,C,9,20,44.667,0,1,0
361,이진석,SK,C,7,3,14,0,1,0
361,이진석,SK,C,8,18,58.667,0,1,0
361,이진영,KIA,B,9,13,69.333,1,0.933,0
361,이진영,KIA,C,7,2,6,0,1,0
361,이진영,KIA,C,8,2,2,0,1,0
361,이진석,SK,C,D,0,0,0,0,0
362,이진영,kt,B,9,16,100,0,1,0
362,이진영,kt,B,D,0,0,0,0,0
364,이창재,kt,C,1,47,40.333,0,1,0
364,이창재,kt,C,D,0,0,0,0,0
365,이천웅,LG,A,9,48,253.667,2,0.957,0
365,이천웅,LG,A,7,30,183.333,0,1,0
365,이천웅,LG,A,8,32,174.333,0,1,0
365,이태양,NC,C,1,10,47,0,1,0
365,이천웅,LG,A,D,0,0,0,0,0
366,이태양,한화,A,1,29,112.333,1,0.944,0
366,이태양,한화,A,D,0,0,0,0,0
368,이택근,넥센,A,9,79,571.333,0,1,0
368,이택근,넥센,A,7,18,116,1,0.96,0
368,이택근,넥센,A,D,0,0,0,0,0
369,이해창,kt,B,2,85,575.333,8,0.985,47
369,이해창,kt,B,D,0,0,0,0,0
370,이현석,SK,C,2,9,17.667,0,1,0
370,이현석,SK,C,D,0,0,0,0,0
371,이현승,두산,C,1,56,57.667,0,1,0
371,이현승,두산,C,D,0,0,0,0,0
372,이현호,두산,C,1,41,47,0,1,0
372,이현호,두산,C,D,0,0,0,0,0
373,이형종,LG,B,9,23,85.667,0,1,0
373,이형종,LG,A,7,32,161,0,1,0
373,이형종,LG,C,8,6,23.333,0,1,0
373,이형종,LG,B,D,0,0,0,0,0
374,이호신,KIA,B,9,44,126,0,1,0
374,이호신,KIA,C,7,2,4,0,1,0
374,이호신,KIA,C,8,2,7,0,1,0
374,이호신,KIA,B,D,0,0,0,0,0
375,이홍구,KIA,C,3,2,2,0,1,0
375,이홍구,KIA,A,2,92,532,5,0.989,15.2
375,이홍구,KIA,C,D,0,0,0,0,0
376,이흥련,삼성,B,2,82,381.333,5,0.985,20.5
376,이흥련,삼성,B,D,0,0,0,0,0
377,임기준,KIA,C,1,19,31.333,3,0.727,0
377,임기준,KIA,C,D,0,0,0,0,0
378,임대한,삼성,C,1,26,28,0,1,0
378,임대한,삼성,C,D,0,0,0,0,0
379,임병욱,넥센,C,9,1,3,0,1,0
379,임병욱,넥센,A,8,101,638.667,3,0.986,0
379,임병욱,넥센,C,D,0,0,0,0,0
380,임서준,NC,C,1,2,6.333,0,0,0
380,임서준,NC,C,D,0,0,0,0,0
381,임석진,SK,C,3,3,6,0,1,0
381,임석진,SK,C,D,0,0,0,0,0
382,임익준,한화,C,6,2,6,0,1,0
382,임익준,한화,C,D,0,0,0,0,0
383,임정우,LG,B,1,67,70.667,1,0.857,0
383,임정우,LG,B,D,0,0,0,0,0
384,임정호,NC,C,1,42,23.333,1,0.75,0
384,임정호,NC,C,D,0,0,0,0,0
385,임준혁,SK,C,1,12,34,1,0.857,0
385,임준혁,SK,C,D,0,0,0,0,0
386,임찬규,LG,C,1,15,47,0,1,0
386,임찬규,LG,C,D,0,0,0,0,0
387,임창민,NC,C,1,65,70,0,1,0
387,임창민,NC,C,D,0,0,0,0,0
388,임창용,KIA,C,1,34,35,1,0.75,0
388,임창용,KIA,C,D,0,0,0,0,0
389,임현준,삼성,C,1,2,1,0,1,0
389,임현준,삼성,C,D,0,0,0,0,0
390,임훈,LG,B,9,30,96,0,1,0
390,임훈,LG,C,7,1,2,0,0,0
390,임훈,LG,A,8,45,288,0,1,0
390,임훈,LG,B,D,0,0,0,0,0
391,장민석,한화,B,9,18,83.667,0,1,0
391,장민석,한화,A,7,57,266.667,2,0.957,0
391,장민석,한화,A,8,31,167,1,0.975,0
391,장민석,한화,B,D,0,0,0,0,0
392,장민재,한화,C,1,48,119.333,4,0.81,0
392,장민재,한화,C,D,0,0,0,0,0
393,장시윤,넥센,C,4,4,17,1,0.9,0
393,장시윤,넥센,C,5,4,14,2,0.778,0
393,장시윤,넥센,C,D,0,0,0,0,0
394,장시환,kt,C,1,40,75.333,0,1,0
394,장시환,kt,C,D,0,0,0,0,0
395,장영석,넥센,C,3,9,37,2,0.947,0
395,장영석,넥센,C,5,7,20,1,0.857,0
395,장영석,넥센,C,D,0,0,0,0,0
396,장운호,한화,C,9,6,17,0,1,0
396,장운호,한화,B,7,31,124.667,0,1,0
396,장운호,한화,C,8,14,74.333,0,1,0
396,장운호,한화,C,D,0,0,0,0,0
397,장원삼,삼성,C,1,26,78.333,0,1,0
397,장원삼,삼성,C,D,0,0,0,0,0
398,장원준,두산,A,1,27,168,1,0.958,0
398,장원준,두산,A,D,0,0,0,0,0
399,장준원,LG,C,6,13,36.667,0,1,0
399,장준원,LG,C,D,0,0,0,0,0
400,장진용,LG,C,1,2,5.333,0,0,0
400,장진용,LG,C,D,0,0,0,0,0
401,장필준,삼성,C,1,56,72,0,1,0
401,장필준,삼성,C,D,0,0,0,0,0
402,장현식,NC,B,1,37,76.333,1,0.875,0
402,장현식,NC,B,D,0,0,0,0,0
403,전민수,kt,A,9,36,247.333,0,1,0
403,전민수,kt,A,7,33,200.333,0,1,0
403,전민수,kt,A,D,0,0,0,0,0
404,전병두,SK,C,1,1,0.333,0,0,0
404,전병두,SK,C,D,0,0,0,0,0
405,전상현,KIA,C,1,8,13.333,0,1,0
405,전상현,KIA,C,D,0,0,0,0,0
406,전유수,SK,B,1,46,54.333,1,0.889,0
406,전유수,SK,B,D,0,0,0,0,0
407,전인환,LG,C,1,5,6.333,0,1,0
407,전인환,LG,C,D,0,0,0,0,0
408,전준우,롯데,A,8,25,209.333,0,1,0
408,전준우,롯데,A,D,0,0,0,0,0
409,정근우,한화,B,4,138,1170.667,16,0.979,0
409,정근우,한화,C,9,2,3,0,0,0
409,정근우,한화,C,7,1,3,0,1,0
409,정근우,한화,C,8,2,5,0,1,0
409,정근우,한화,B,D,0,0,0,0,0
410,정대현,kt,A,1,22,91.333,1,0.938,0
410,정대현,kt,A,D,0,0,0,0,0
411,정대현,롯데,C,1,24,17.333,1,0.833,0
411,정대현,롯데,C,D,0,0,0,0,0
412,정대훈,한화,C,1,36,38.667,0,1,0
412,정대훈,한화,C,D,0,0,0,0,0
413,정동현,KIA,C,1,9,18,0,1,0
413,정동현,KIA,C,D,0,0,0,0,0
414,정범모,한화,C,2,4,8.333,0,1,0
414,정범모,한화,C,D,0,0,0,0,0
415,정상호,LG,A,2,72,367.667,3,0.99,27.8
415,정상호,LG,A,D,0,0,0,0,0
416,정성곤,kt,C,1,28,66.333,2,0.889,0
416,정성곤,kt,C,D,0,0,0,0,0
417,정성훈,LG,A,3,105,729.667,4,0.995,0
417,정성훈,LG,C,5,1,1,0,1,0
417,정성훈,LG,A,D,0,0,0,0,0
418,정수민,NC,C,1,15,48,0,1,0
418,정수민,NC,C,D,0,0,0,0,0
419,정수빈,두산,A,8,107,624.667,2,0.989,0
419,정수빈,두산,A,D,0,0,0,0,0
420,정영일,SK,C,1,21,24.667,0,1,0
420,정영일,SK,C,D,0,0,0,0,0
421,정용운,KIA,C,1,12,21.667,1,0.833,0
421,정용운,KIA,C,D,0,0,0,0,0
422,정용준,넥센,C,1,5,9,0,1,0
422,정용준,넥센,C,D,0,0,0,0,0
423,정우람,한화,A,1,61,81,1,0.958,0
423,정우람,한화,A,D,0,0,0,0,0
424,정의윤,SK,A,9,99,759,5,0.97,0
424,정의윤,SK,C,7,2,4.333,0,1,0
424,정의윤,SK,A,D,0,0,0,0,0
425,정인욱,삼성,B,1,27,111,0,1,0
425,정인욱,삼성,B,D,0,0,0,0,0
426,정재원,한화,C,1,14,21.333,0,1,0
426,정재원,한화,C,D,0,0,0,0,0
427,정재훈,두산,C,1,46,52.333,0,1,0
427,정재훈,두산,C,D,0,0,0,0,0
428,정주현,LG,B,4,79,404.333,7,0.969,0
428,정주현,LG,C,8,2,1.667,0,0,0
428,정주현,LG,B,D,0,0,0,0,0
429,정주후,kt,C,4,2,1.667,1,0.5,0
429,정주후,kt,C,6,4,3.333,0,0,0
429,정주후,kt,C,D,0,0,0,0,0
430,정진철,두산,C,4,2,3,0,1,0
430,정진철,두산,C,D,0,0,0,0,0
431,정진호,두산,C,9,7,14.333,0,1,0
431,정진호,두산,C,7,13,44.667,0,1,0
431,정진호,두산,C,8,1,1,0,0,0
431,정진호,두산,C,D,0,0,0,0,0
432,정찬헌,LG,C,1,6,8,0,1,0
432,정찬헌,LG,C,D,0,0,0,0,0
433,정현석,한화,C,9,1,3,0,0,0
433,정현석,한화,C,7,2,12,0,1,0
433,정현석,한화,C,D,0,0,0,0,0
434,정현욱,LG,C,1,17,21,0,0,0
434,정현욱,LG,C,D,0,0,0,0,0
435,정회찬,넥센,C,1,11,9.667,0,1,0
435,정회찬,넥센,C,D,0,0,0,0,0
436,정훈,롯데,B,4,114,851.333,11,0.976,0
436,정훈,롯데,B,D,0,0,0,0,0
437,조동찬,삼성,C,4,11,42.333,0,1,0
437,조동찬,삼성,C,5,76,504.667,11,0.929,0
437,조동찬,삼성,C,6,11,25.333,0,1,0
437,조동찬,삼성,C,D,0,0,0,0,0
438,조동화,SK,A,9,41,155,1,0.969,0
438,조동화,SK,A,7,24,123,1,0.958,0
438,조동화,SK,B,8,18,89.333,0,1,0
438,조동화,SK,A,D,0,0,0,0,0
439,조무근,kt,C,1,38,38.667,0,1,0
439,조무근,kt,C,D,0,0,0,0,0
440,조성모,SK,C,4,1,1,0,1,0
440,조성모,SK,C,6,1,1,0,1,0
440,조성모,SK,C,D,0,0,0,0,0
441,조수행,두산,C,9,14,26,0,1,0
441,조수행,두산,C,7,32,61,0,1,0
441,조수행,두산,C,8,11,28,1,0.857,0
441,조수행,두산,C,D,0,0,0,0,0
442,조승수,두산,C,1,7,8.333,0,0,0
442,조승수,두산,C,D,0,0,0,0,0
443,조영훈,NC,B,3,73,360.333,5,0.987,0
443,조영훈,NC,B,D,0,0,0,0,0
444,조윤준,LG,C,2,2,5,0,1,0
444,조윤준,LG,C,D,0,0,0,0,0
445,조인성,한화,A,2,73,333.667,4,0.986,28.9
445,조인성,한화,A,D,0,0,0,0,0
446,조평호,NC,C,5,1,1,0,0,0
446,조평호,NC,C,D,0,0,0,0,0
447,조한욱,SK,C,1,2,2.333,0,1,0
447,조한욱,SK,C,D,0,0,0,0,0
448,조현근,삼성,C,1,3,5.333,0,1,0
448,조현근,삼성,C,D,0,0,0,0,0
449,주권,kt,B,1,28,134,0,1,0
449,주권,kt,B,D,0,0,0,0,0
450,주현상,한화,C,4,3,3,0,1,0
450,주현상,한화,C,5,6,8,0,1,0
450,주현상,한화,C,6,1,1,0,0,0
450,주현상,한화,C,D,0,0,0,0,0
451,주효상,넥센,C,2,8,25.333,0,1,50
451,주효상,넥센,C,D,0,0,0,0,0
452,지석훈,NC,A,4,58,336,3,0.982,0
452,지석훈,NC,A,5,38,161,0,1,0
452,지석훈,NC,B,6,56,323.333,6,0.965,0
452,지석훈,NC,A,D,0,0,0,0,0
453,지성준,한화,C,2,1,1,0,1,0
453,지성준,한화,C,D,0,0,0,0,0
454,지재옥,넥센,C,2,7,39,0,1,10
454,지재옥,넥센,C,D,0,0,0,0,0
455,지크,KIA,B,1,30,152,3,0.842,0
455,지크,KIA,B,D,0,0,0,0,0
456,진야곱,두산,C,1,55,62,0,1,0
456,진야곱,두산,C,D,0,0,0,0,0
457,진해수,LG,C,1,75,54,0,1,0
457,진해수,LG,C,D,0,0,0,0,0
458,차우찬,삼성,C,1,24,152.333,4,0.905,0
458,차우찬,삼성,C,D,0,0,0,0,0
459,차일목,한화,A,2,116,708.333,6,0.991,29
459,차일목,한화,A,D,0,0,0,0,0
460,차재용,롯데,C,1,2,2.667,0,0,0
460,차재용,롯데,C,D,0,0,0,0,0
461,채병용,SK,C,1,68,83.667,2,0.882,0
461,채병용,SK,C,D,0,0,0,0,0
462,채선관,kt,C,1,1,0.333,0,0,0
462,채선관,kt,C,D,0,0,0,0,0
463,채은성,LG,A,9,95,665,1,0.993,0
463,채은성,LG,B,7,32,135.333,2,0.929,0
463,채은성,LG,B,8,15,88,0,1,0
463,채은성,LG,C,2,1,1,1,0,0
463,채은성,LG,A,D,0,0,0,0,0
464,채태인,넥센,A,3,68,518.667,3,0.994,0
464,채태인,넥센,A,D,0,0,0,0,0
465,최경철,LG,B,2,29,125.333,2,0.983,55.6
465,최경철,LG,B,D,0,0,0,0,0
466,최금강,NC,B,1,52,108,2,0.889,0
466,최금강,NC,B,D,0,0,0,0,0
467,최동환,LG,C,1,26,34.667,1,0.8,0
467,최동환,LG,C,D,0,0,0,0,0
468,최병연,KIA,C,4,3,6.333,0,1,0
468,최병연,KIA,C,5,4,5,0,1,0
468,최병연,KIA,C,6,6,20.667,0,1,0
468,최병연,KIA,C,D,0,0,0,0,0
469,최선호,삼성,C,9,9,19,0,1,0
469,최선호,삼성,C,7,27,40,0,1,0
469,최선호,삼성,C,8,6,32,0,1,0
469,최선호,삼성,C,D,0,0,0,0,0
470,최성영,NC,C,1,7,4.667,0,1,0
470,최성영,NC,C,D,0,0,0,0,0
471,최성훈,LG,C,1,28,22.667,2,0.6,0
471,최성훈,LG,C,D,0,0,0,0,0
472,최승준,SK,A,3,41,237.667,2,0.992,0
472,최승준,SK,C,2,1,1,0,1,0
472,최승준,SK,A,D,0,0,0,0,0
473,최영필,KIA,C,1,54,57.333,0,1,0
473,최영필,KIA,C,D,0,0,0,0,0
474,최용제,두산,C,2,4,20,0,1,0
474,최용제,두산,C,D,0,0,0,0,0
475,최원재,kt,C,1,10,9.333,0,0,0
475,최원재,kt,C,D,0,0,0,0,0
476,최원준,KIA,C,3,2,2,0,1,0
476,최원준,KIA,C,5,1,4.667,0,0,0
476,최원준,KIA,C,9,4,23.667,0,1,0
476,최원준,KIA,C,6,2,3,1,0.667,0
476,최원준,KIA,C,8,4,16,1,0.75,0
476,최원준,KIA,C,D,0,0,0,0,0
477,최원태,넥센,B,1,17,61,1,0.833,0
477,최원태,넥센,B,D,0,0,0,0,0
478,최윤석,한화,C,4,4,15.333,1,0.875,0
478,최윤석,한화,C,6,8,27.333,0,1,0
478,최윤석,한화,C,D,0,0,0,0,0
479,최재원,삼성,B,4,9,62.333,1,0.974,0
479,최재원,삼성,C,5,8,63,0,1,0
479,최재원,삼성,C,9,5,23,0,1,0
479,최재원,삼성,C,7,7,47,0,1,0
479,최재원,삼성,B,D,0,0,0,0,0
480,최재훈,두산,B,2,20,58.333,1,0.978,25
480,최재훈,두산,B,D,0,0,0,0,0
481,최정,SK,A,5,140,1181.333,14,0.964,0
481,최정,SK,A,D,0,0,0,0,0
482,최정민,SK,B,4,51,260.667,5,0.968,0
482,최정민,SK,C,5,6,20,0,1,0
482,최정민,SK,C,9,2,2,0,0,0
482,최정민,SK,B,D,0,0,0,0,0
483,최정용,SK,C,3,5,9,0,1,0
483,최정용,SK,C,4,12,48,0,1,0
483,최정용,SK,C,5,13,39.333,0,1,0
483,최정용,SK,C,6,10,14.333,1,0.833,0
483,최정용,SK,C,D,0,0,0,0,0
484,최주환,두산,B,4,32,146.333,2,0.975,0
484,최주환,두산,C,5,7,11,0,1,0
484,최주환,두산,B,D,0,0,0,0,0
485,최준석,롯데,C,3,5,14,0,1,0
485,최준석,롯데,C,D,0,0,0,0,0
486,최진행,한화,A,7,26,167,0,1,0
486,최진행,한화,A,D,0,0,0,0,0
487,최충연,삼성,C,1,3,7.667,0,1,0
487,최충연,삼성,C,D,0,0,0,0,0
488,최형우,삼성,A,7,134,1094,3,0.987,0
488,최형우,삼성,A,D,0,0,0,0,0
489,카스티요,한화,B,1,20,84,0,1,0
489,카스티요,한화,B,D,0,0,0,0,0
490,켈리,SK,A,1,31,200.333,1,0.981,0
490,켈리,SK,A,D,0,0,0,0,0
491,코엘로,넥센,B,1,12,62,1,0.857,0
491,코엘로,넥센,B,D,0,0,0,0,0
492,코프랜드,LG,C,1,13,63.333,2,0.833,0
492,코프랜드,LG,C,D,0,0,0,0,0
493,테임즈,NC,A,3,114,905,4,0.995,0
493,테임즈,NC,A,D,0,0,0,0,0
494,플란데,삼성,C,1,13,68.667,0,1,0
494,플란데,삼성,C,D,0,0,0,0,0
495,피노,kt,C,1,12,39,0,1,0
495,피노,kt,C,D,0,0,0,0,0
496,피어밴드,kt,B,1,31,182,3,0.929,0
496,피어밴드,kt,B,D,0,0,0,0,0
497,필,KIA,B,3,123,997.667,13,0.987,0
497,필,KIA,C,4,2,2,0,1,0
497,필,KIA,B,D,0,0,0,0,0
498,하영민,넥센,C,1,11,28.667,0,1,0
498,하영민,넥센,C,D,0,0,0,0,0
499,하주석,한화,C,5,8,20,0,1,0
499,하주석,한화,C,6,109,886.333,19,0.959,0
499,하주석,한화,C,D,0,0,0,0,0
500,하준호,kt,B,9,29,119,0,1,0
500,하준호,kt,A,7,43,201.667,2,0.968,0
500,하준호,kt,B,8,19,107.333,2,0.935,0
500,하준호,kt,B,D,0,0,0,0,0
501,한기주,KIA,C,1,29,56.333,0,1,0
501,한기주,KIA,C,D,0,0,0,0,0
502,한동민,SK,C,3,1,1,0,0,0
502,한동민,SK,C,9,2,11,0,0,0
502,한동민,SK,C,7,3,26,0,1,0
502,한동민,SK,C,D,0,0,0,0,0
503,한승택,KIA,A,2,25,91.667,1,0.988,6.3
503,한승택,KIA,A,D,0,0,0,0,0
504,한승혁,KIA,C,1,36,33.333,1,0.8,0
504,한승혁,KIA,C,D,0,0,0,0,0
505,함덕주,두산,C,1,15,8.667,1,0.667,0
505,함덕주,두산,C,D,0,0,0,0,0
506,해커,NC,A,1,23,140.667,1,0.975,0
506,해커,NC,A,D,0,0,0,0,0
507,허경민,두산,C,4,1,2,0,1,0
507,허경민,두산,A,5,142,1206.333,7,0.979,0
507,허경민,두산,C,6,3,10,1,0.75,0
507,허경민,두산,C,D,0,0,0,0,0
508,허도환,한화,A,2,47,230.667,1,0.994,40.7
508,허도환,한화,A,D,0,0,0,0,0
509,허정협,넥센,C,9,5,21,1,0.875,0
509,허정협,넥센,C,7,3,13,0,1,0
509,허정협,넥센,C,D,0,0,0,0,0
510,허준혁,두산,B,1,28,89.333,0,1,0
510,허준혁,두산,B,D,0,0,0,0,0
511,허프,LG,C,1,13,74.667,3,0.8,0
511,허프,LG,C,D,0,0,0,0,0
512,헥터,KIA,A,1,31,206.667,1,0.979,0
512,헥터,KIA,A,D,0,0,0,0,0
513,홍건희,KIA,A,1,50,90.333,1,0.909,0
513,홍건희,KIA,A,D,0,0,0,0,0
514,홍상삼,두산,C,1,11,12,0,0,0
514,홍상삼,두산,C,D,0,0,0,0,0
515,홍성갑,넥센,C,3,6,18,0,1,0
515,홍성갑,넥센,C,9,5,10,0,0,0
515,홍성갑,넥센,C,7,11,59,0,1,0
515,홍성갑,넥센,C,8,1,1,0,1,0
515,홍성갑,넥센,C,D,0,0,0,0,0
516,홍성무,kt,C,1,8,9,1,0.667,0
516,홍성무,kt,C,D,0,0,0,0,0
517,홍성민,롯데,C,1,52,42.667,1,0.857,0
517,홍성민,롯데,C,D,0,0,0,0,0
518,홍성용,kt,C,1,67,46.333,3,0.769,0
518,홍성용,kt,C,D,0,0,0,0,0
519,홍영현,두산,C,1,6,6.333,0,0,0
519,홍영현,두산,C,D,0,0,0,0,0
520,홍재호,KIA,C,4,17,28,0,1,0
520,홍재호,KIA,C,5,4,5,0,1,0
520,홍재호,KIA,C,6,1,1,0,0,0
520,홍재호,KIA,C,D,0,0,0,0,0
521,홍창기,LG,C,7,2,8,0,1,0
521,홍창기,LG,C,D,0,0,0,0,0
522,황대인,KIA,C,5,2,3,0,1,0
522,황대인,KIA,C,D,0,0,0,0,0
523,황덕균,넥센,C,1,7,16.333,0,1,0
523,황덕균,넥센,C,D,0,0,0,0,0
524,황목치승,LG,C,4,22,52,0,1,0
524,황목치승,LG,C,5,1,1,0,0,0
524,황목치승,LG,C,6,18,65,0,1,0
524,황목치승,LG,C,D,0,0,0,0,0
525,황선도,삼성,C,7,1,2,0,0,0
525,황선도,삼성,C,8,1,6,0,1,0
525,황선도,삼성,C,D,0,0,0,0,0
526,황윤호,NC,C,4,8,19,0,1,0
526,황윤호,NC,C,5,7,11,0,1,0
526,황윤호,NC,C,6,5,10,0,1,0
526,황윤호,NC,C,D,0,0,0,0,0
527,황재규,한화,C,1,2,3.667,0,0,0
527,황재규,한화,C,D,0,0,0,0,0
528,황재균,롯데,B,5,124,1055.667,15,0.96,0
528,황재균,롯데,C,6,2,2.667,0,0,0
528,황재균,롯데,B,D,0,0,0,0,0
529,황진수,롯데,C,4,2,4,0,1,0
529,황진수,롯데,C,5,1,8,0,1,0
529,황진수,롯데,C,6,2,6,0,1,0
529,황진수,롯데,C,D,0,0,0,0,0
530,히메네스,LG,C,4,1,1,0,0,0
530,히메네스,LG,B,5,133,1123.333,17,0.956,0
530,히메네스,LG,C,D,0,0,0,0,0
531,홍성흔,두산,C,D,0,0,0,0,0
532,이우성,두산,C,D,0,0,0,0,0
533,김만수,kt,C,D,0,0,0,0,0
534,이호준,NC,C,D,0,0,0,0,0
